"url","URLs","URLs_link"
"https://www.city-data.com/city/Wyoming.html","Bridger Valley","https://www.city-data.com/city/Bridger-Valley-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Casper","https://www.city-data.com/city/Casper-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Cheyenne, WY","https://www.city-data.com/city/Cheyenne-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Cody, WY","https://www.city-data.com/city/Cody-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Douglas, WY","https://www.city-data.com/city/Douglas-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Evanston, WY","https://www.city-data.com/city/Evanston-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Gillette","https://www.city-data.com/city/Gillette-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Green River, WY","https://www.city-data.com/city/Green-River-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Jackson Hole","https://www.city-data.com/city/Jackson-Hole-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Jackson, WY","https://www.city-data.com/city/Jackson-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Lander","https://www.city-data.com/city/Lander-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Laramie","https://www.city-data.com/city/Laramie-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Powell, WY","https://www.city-data.com/city/Powell-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Rawlins","https://www.city-data.com/city/Rawlins-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Riverton, WY","https://www.city-data.com/city/Riverton-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Rock Springs, WY","https://www.city-data.com/city/Rock-Springs-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Sheridan, WY","https://www.city-data.com/city/Sheridan-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Torrington, WY","https://www.city-data.com/city/Torrington-Wyoming.html"
"https://www.city-data.com/city/Wyoming.html","Wind River, WY","https://www.city-data.com/city/Wind-River-Wyoming.html"
